,#,Título,Autor,Ano (pub.),Tipo,Prioridade,"Status (2 lendo, 1 a ler e 0 lido)",Disponível em,Categoria,Motivação,i,"minha opinião (1 a 5, amei)",Lido em,Status_Label,Score_Importancia
147,148,O herói e o fora da lei: Como construir marcas extraordinárias usando o poder dos arquétipos, Carol S. Pearson,2022,Não Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,21,,,A Ler,21
148,149,Essencialismo: A Disciplinada Busca por Menos,Greg McKeown,2014,Não Técnico,2 - Média,1,,Sistemas de IA & LLMs,Focar no que é essencial e eliminar o que não é para maior produtividade e clareza.,22,,,A Ler,22
149,150,Mindset: A Nova Psicologia do Sucesso,Carol S. Dweck,2006,Não Técnico,2 - Média,1,,Arquitetura da Mente (Mindset),Compreender a diferença entre mentalidade fixa e de crescimento e como isso afeta o sucesso.,20,,,A Ler,20
150,151,O Mito do Empreendedor,Michael E. Gerber,1986,Não Técnico,3 - Média-Alta,1,,Negócios,Entender os desafios de gerenciar um negócio e evitar armadilhas comuns.,13,,,A Ler,13
151,152,Data science handbook,Jake Klamka,2020,Técnico,2 - Média,1,PDF,Estatística & Incerteza,"The Data Science Handbook is a compilation of in-depth interviews with 25 remarkable data scientists, where they share their insights, stories, and advice.",22,,,A Ler,22
152,153,Padrões para Kubernetes,Bilgin Ibryam,2019,Técnico,1 - Baixa,1,,MLOps,Melhores práticas e padrões de design para construir e operar aplicações em Kubernetes. Melhores práticas para arquitetura em nuvem,12,,,A Ler,12
153,154,Data Mesh: Delivering Data-Driven Value at Scale,Zhamak Dehghani,2022,Técnico,1 - Baixa,1,,Engenharia de dados,A nova abordagem descentralizada de dados.,14,,,A Ler,14
154,155,Fundamentals of Data Engineering,"Joe Reis, Matt Housley",2022,Técnico,1 - Baixa,1,,Engenharia de ML & MLOps,Construa base sólida em engenharia de dados moderna.,22,,,A Ler,22
155,156,Beginning Microsoft Power BI,Dan Clark,2020,Técnico,1 - Baixa,1,,Estatística & Incerteza,Guia prático para usar o Power BI na análise e visualização de dados. Ferramenta essencial para análise de dados,19,,,A Ler,19
156,157,Business unIntelligence,Barry Devlin,2013,Técnico,1 - Baixa,1,,Análise de Dados,Crítica à inteligência de negócios tradicional e propõe uma evolução para um BI mais estratégico. Para visão estratégica de dados,12,,,A Ler,12
157,158,Como Criar uma Mente: Os segredos do pensamento humano,Raymond Kurzweil,2012,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explora como o cérebro humano funciona e a possibilidade de replicá-lo artificialmente. IA e MLOps,21,,,A Ler,21
158,159,Emotion Machine,Marvin Minsky,2006,Técnico,1 - Baixa,1,,MLOps,Teoria sobre como a mente humana funciona e como as emoções são construídas. IA e MLOps,12,,,A Ler,12
159,160,Homo Deus: Uma Breve História do Amanhã,Yuval Noah Harari,2015,Não Técnico,1 - Baixa,1,,Cosmologia & Fronteiras da Ciência,Refletir sobre o futuro da humanidade e o impacto da tecnologia.,18,,,A Ler,18
160,161,A Ciência De Como Não Estar Errado,Jordan Ellenberg,,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,14,,,A Ler,14
161,162,Dados e storytelling de impacto,Brent Dykes,,Técnico,1 - Baixa,1,,Análise de Dados,,5,,,A Ler,5
162,163,"Estatística: O que é, para que serve",Charles Wheelan,,Técnico,1 - Baixa,1,,Estatística & Incerteza,,12,,,A Ler,12
163,164,Factfulness,Hans Rosling,,Técnico,1 - Baixa,1,,Análise de Dados,,5,,,A Ler,5
164,165,O Andar do Bêbado,Leonard Mlodinow,,Técnico,1 - Baixa,1,,Cosmologia & Fronteiras da Ciência,,13,,,A Ler,13
165,166,Uma Senhora Toma um Chá,David Salsburg,,Técnico,1 - Baixa,1,,Análise de Dados,,5,,,A Ler,5
166,167,Do Mil ao Milhão: Sem Cortar o Cafezinho,Thiago Nigro,2018,Não Técnico,2 - Média,1,,Liberdade Econômica & Finanças,Aprender sobre investimentos e finanças pessoais de forma prática e acessível.,18,,,A Ler,18
167,168,Rápido e Devagar: Duas Formas de Pensar,Daniel Kahneman,2011,Não Técnico,1 - Baixa,1,,Inteligência emocional,Entender como a mente toma decisões e evitar vieses.,10,,,A Ler,10
168,169,Armada,Ernest Cline,2015,Não Técnico,1 - Baixa,1,Estante,Épicos & Ficção Reflexiva,Sci-fi com videogames e conspiração,19,,,A Ler,19
169,170,Algoritmos - Teoria e Prática,Thomas H. Cormen,2012,Técnico,2 - Média,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,24,,,A Ler,24
170,171,A Divina Comédia: Inferno,Dante Alighieri,1320,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Poema épico sobre o inferno,18,,,A Ler,18
171,172,A Divina Comédia: Paraíso,Dante Alighieri,1320,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Conclusão da jornada divina,18,,,A Ler,18
172,173,A Divina Comédia: Purgatório,Dante Alighieri,1320,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Continuação da jornada espiritual,18,,,A Ler,18
173,174,Social Media Mining,Reza Zafarani,2014,Técnico,2 - Média,1,PDF,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,24,,,A Ler,24
174,175,As Crônicas de Nárnia,C. S. Lewis,1950,Não Técnico,1 - Baixa,1,Estante,Sistemas de IA & LLMs,Fantasia e alegoria cristã,18,,,A Ler,18
175,176,Dr. Gerald Musgrave,Owen Thornton,2020,Não Técnico,1 - Baixa,1,Estante,História/Ficção,Thriller médico e psicológico,12,,,A Ler,12
176,177,O Caminho do Artista,Julia Cameron,1992,Não Técnico,2 - Média,1,,Arquitetura da Mente (Mindset),Desbloquear a criatividade e a expressão pessoal.,17,,,A Ler,17
177,178,Mostre seu Trabalho!,Austin Kleon,2014,Não Técnico,2 - Média,1,,Arquitetura da Mente (Mindset),Aprender a compartilhar seu processo criativo e construir uma audiência.,20,,,A Ler,20
178,179,Storybrand: Crie Mensagens Claras e Atraia a Atenção dos Clientes Para sua Marca,Donald Miller ,2019,Não Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Explorar a fronteira tecnológica e seus impactos na sociedade.,19,,,A Ler,19
179,180,Roube como um Artista,Austin Kleon,2012,Não Técnico,2 - Média,1,,Arquitetura da Mente (Mindset),Inspirar a criatividade através da apropriação e transformação de ideias.,20,,,A Ler,20
180,181,A Revolução dos Bichos,George Orwell,1945,Não Técnico,2 - Média,1,,Épicos & Ficção Reflexiva,Crítica a regimes totalitários e manipulação.,17,,,A Ler,17
181,182,O Segundo Sexo,Simone de Beauvoir,1949,Não Técnico,2 - Média,1,,Justiça Social & Interseccionalidade,"Clássico do feminismo, fundamental para entender a condição feminina.",14,,,A Ler,14
182,183,A Cor Púrpura,Alice Walker,1982,Não Técnico,2 - Média,1,,Justiça Social & Interseccionalidade,Luta contra o racismo e o machismo no sul dos EUA.,14,,,A Ler,14
183,184,O Que É Lugar de Fala?,Djamila Ribeiro,2017,Não Técnico,2 - Média,1,,Justiça Social & Interseccionalidade,Refletir sobre a importância da representatividade e da voz de grupos marginalizados.,17,,,A Ler,17
184,185,Gender Queer: A Memoir,Maia Kobabe,2019,Não Técnico,2 - Média,1,,Justiça Social & Interseccionalidade,Explorar a identidade de gênero e sexualidade através de uma perspectiva pessoal e inclusiva.,17,,,A Ler,17
185,186,Refatoração,Martin Fowler,2019,Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),Melhore código com boas práticas e elegância.,18,,,A Ler,18
186,187,Estruturas de dados e algoritmos com JavaScript,Loiane Groner,2016,Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),Implemente lógica essencial com uma linguagem prática.,18,,,A Ler,18
187,188,An Introduction to the Analysis of Algorithms,"Robert Sedgewick, Philippe Flajolet",2013,Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),"Análise matemática de algoritmos, complexidade e desempenho. Base sólida de análise de algoritmos",18,,,A Ler,18
188,189,The Mythical Man-Month,Frederick P. Brooks Jr.,1975 (ed. orig.),Técnico,1 - Baixa,1,,Programação,"Reflexões sobre gerenciamento de projetos de software, seus desafios e lições aprendidas. Gestão de projetos de software",9,,,A Ler,9
189,190,The Art of Software Testing,Glenford J. Myers,1979 (ed. orig.),Técnico,1 - Baixa,1,,Programação,Princípios e técnicas de teste de software para garantir a qualidade. Importante para qualidade de software,9,,,A Ler,9
190,191,Reinforcement Learning,Richard Sutton,2020,Técnico,1 - Baixa,1,PDF,Machine learning,,12,,,A Ler,12
191,192,Object-Oriented Software Construction,Bertrand Meyer,1988 (ed. orig.),Técnico,1 - Baixa,1,,Programação,Aborda conceitos avançados de programação orientada a objetos e engenharia de software. Conceitos avançados de POO,9,,,A Ler,9
192,193,The Art of Computer Programming (Volumes 1-3),Donald Knuth,1968 (Vol 1),Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),"Obra-prima sobre algoritmos, estruturas de dados e técnicas de programação. Obra-prima sobre algoritmos",15,,,A Ler,15
193,194,Structure and Interpretation of Computer Programs,"Harold Abelson, Gerald Jay Sussman",1984 (ed. orig.),Técnico,1 - Baixa,1,,Programação,"Conceitos fundamentais de computação, programação e sistemas de forma profunda. Conceitos profundos de computação",9,,,A Ler,9
194,195,Engenharia de Software: Uma abordagem profissional,Roger S. Pressman,2019,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Uma referência clássica e abrangente sobre os princípios e práticas da engenharia de software. Referência clássica,21,,,A Ler,21
195,196,Conversas Dificeis,"Douglas Stone, Bruce Patton e Sheila Heen",1999,Não Técnico,1 - Baixa,1,,Comunicação,Melhorar habilidades de comunicação em situações desafiadoras.,7,,,A Ler,7
196,197,Resolução de Conflitos,Daniel Dana,1981,Não Técnico,1 - Baixa,1,,Comunicação,Desenvolver estratégias eficazes para gerenciar e resolver conflitos.,7,,,A Ler,7
197,198,Por que Dormimos,Matthew Walker,2017,Não Técnico,1 - Baixa,1,,Biohacking & Existência,Compreender a importância do sono para a saúde física e mental.,15,,,A Ler,15
198,199,O Corpo Explica,Cristina Cairo,1999,Não Técnico,1 - Baixa,1,,Bem-estar,Entender a relação entre emoções e doenças físicas (perspectiva alternativa).,7,,,A Ler,7
199,200,O Jeito Harvard de Ser Feliz,Shawn Achor,2010,Não Técnico,1 - Baixa,1,,Bem-estar,Cultivar a felicidade para aumentar a produtividade e o sucesso.,10,,,A Ler,10
200,201,Radical Candor,Kim Scott,2017,Não Técnico,1 - Baixa,1,,Liderança & Pensamento Estratégico,,17,,,A Ler,17
201,202,The Business Forecasting Deal,Michael Gilliland,2010,Técnico,1 - Baixa,1,,Negócios,Discute a arte e a ciência da previsão de negócios de forma realista e prática. Práticas realistas em previsão de negócios,12,,,A Ler,12
202,203,Designing Data-Intensive Applications,Martin Kleppmann,2017,Técnico,1 - Baixa,1,,Arquitetura,Entenda os bastidores de aplicações escaláveis e robustas.,12,,,A Ler,12
203,204,Building Microservices,Sam Newman,2015,Técnico,1 - Baixa,1,,Arquitetura,"Um guia prático sobre como projetar, construir e operar microserviços. Arquiteturas distribuídas",12,,,A Ler,12
204,205,Domain-Driven Design,Eric Evans,2003,Técnico,1 - Baixa,1,,Sistemas de IA & LLMs,Ataque a complexidade modelando o domínio corretamente.,18,,,A Ler,18
205,206,Analysis Patterns,Martin Fowler,1996,Técnico,1 - Baixa,1,,Artesanato de Software (Clean Code),Coleção de padrões para modelagem de sistemas complexos de software e negócios. Modelagem de sistemas complexos,15,,,A Ler,15
206,207,The Ancient Art of the Numerati,Ron Zacharski,2015,Não Técnico,1 - Baixa,1,PDF,Conhecimento geral,https://github.com/zacharski/pg2dm-python,10,,,A Ler,10
207,,Foundations of Computer Vision,Antonio Torralba,2024,Técnico,3 - Média-Alta,0,PDF,Visão computacional,"Introdução abrangente aos fundamentos da visão computacional, incluindo avanços recentes em deep learning.",20,5,2025/11,Lido,20
208,,Como mentir com estatística,Darrell Huff,2016,Técnico,1 - Baixa,0,PDF,Análise de Dados,,12,3,2025/11,Lido,12
209,,Quebrando o habito de ser voce mesmo,Joe Dispenza,2012,Não Técnico,2 - Média,0,PDF,Desenvolvimento pessoal,,13,1,2025/10,Lido,13
210,,Diário de uma princesa (coleção),Meg Cabot,2000,Não Técnico,1 - Baixa,0,,História/Ficção,"Literatura juvenil, crescimento pessoal, humor e leveza.",7,5,2008/01,Lido,7
211,,Querido John,Nicholas Sparks,2006,Não Técnico,1 - Baixa,0,ATA,História/Ficção,"Romance, superação, desafios em relacionamentos à distância.",10,5,2008/02,Lido,10
212,,A Última Música,Nicholas Sparks,2009,Não Técnico,1 - Baixa,0,Estante,História/Ficção,"Romance, drama familiar, reflexão sobre relacionamentos.",12,4,2008/03,Lido,12
213,,Dom Casmurro,Machado de Assis,1899,Não Técnico,1 - Baixa,0,ATA,Literatura Brasileira Clássica,"Clássico da literatura brasileira, reflexão sobre ciúmes e percepção.",13,5,2009/01,Lido,13
214,,Percy Jackson (coleção),Rick Riordan,2005,Não Técnico,1 - Baixa,0,,História/Ficção,"Literatura juvenil, mitologia grega, aventura e imaginação.",7,3,2010/01,Lido,7
215,,A Culpa é das Estrelas,John Green,2012,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Romance jovem e comovente,12,5,2010/04,Lido,12
216,,O triste fim de policarpo quaresma,Lima Barreto,1911,Não Técnico,1 - Baixa,0,ATA,Literatura Brasileira Clássica,"Clássico da literatura brasileira, crítica social e política.",13,2,2010/08,Lido,13
217,,Vidas Secas,Graciliano Ramos,1938,Não Técnico,2 - Média,0,ATA,Literatura Brasileira Clássica,Retrato da seca e da miséria no sertão nordestino.,16,2,2012/02,Lido,16
218,,Memórias Póstumas de Brás Cubas,Machado de Assis,1881,Não Técnico,2 - Média,0,ATA,Literatura Brasileira Clássica,"Clássico da literatura brasileira, crítica social e humor ácido.",16,4,2013/06,Lido,16
219,,O lado bom da vida,Matthew Quick,2008,Não Técnico,1 - Baixa,0,ATA,História/Ficção,"Reflexão sobre saúde mental, superação e otimismo.",10,5,2013/11,Lido,10
220,,O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,Não Técnico,2 - Média,0,Estante,História/Ficção,"Reflexões sobre amizade, amor e o sentido da vida.",12,5,2015/05,Lido,12
221,,O Cão dos Baskerville,Arthur Conan Doyle,1902,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Caso mais famoso de Holmes,9,5,2019/12,Lido,9
222,,O Signo dos Quatro,Arthur Conan Doyle,1890,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Exploração do passado e mistério,9,4,2019/12,Lido,9
223,,O Vale do Medo,Arthur Conan Doyle,1915,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Última novela de Sherlock Holmes,9,4,2019/12,Lido,9
224,,Um Estudo em Vermelho,Arthur Conan Doyle,1887,Não Técnico,1 - Baixa,0,Estante,História/Ficção,Primeira aparição de Sherlock Holmes,9,5,2019/12,Lido,9
225,,O Diário de Anne Frank,Anne Frank,1947,Não Técnico,2 - Média,0,ATA,História/Ficção,Relato emocionante da vida durante o Holocausto.,10,5,2020/07,Lido,10
226,,Orgulho e Preconceito,Jane Austen,1813,Não Técnico,2 - Média,0,Estante,Épicos & Ficção Reflexiva,Crítica social e romance sobre costumes e classes na Inglaterra.,19,5,2023/03,Lido,19
227,,Coragem para liderar,Brene Brown,2019,Não Técnico,4 - Alta,0,PDF,Liderança,Essencial para aprendizado sobre si e para coragem!,19,5,2025/04,Lido,19
228,,Entendendo Algoritmos,Aditya Bhargava,2016,Técnico,1 - Baixa,0,PDF,Artesanato de Software (Clean Code),Uma base sólida em algoritmos é fundamental para o desenvolvimento de sistemas e a resolução eficiente de problemas. Este livro é didático e ideal para fortalecer sua lógica de programação.,18,4,2025/04,Lido,18
229,,O Programador Pragmático,Andrew Hunt e David Thomas,1999,Não Técnico,3 - Média-Alta,0,Estante,Artesanato de Software (Clean Code),Melhores práticas para programadores,21,3,2025/04,Lido,21
230,,Código Limpo,"Robert C. Martin, Leandro Chu",2008,Técnico,1 - Baixa,0,PDF,Artesanato de Software (Clean Code),É uma leitura obrigatória e indispensável para qualquer desenvolvedor. A aplicação das boas práticas ensinadas aqui terá um impacto direto na qualidade do seu código e na sua colaboração em equipe no estágio.,18,3,2025/05,Lido,18
231,,The Quick Python Book,Naomi Ceder,2025,Técnico,4 - Alta,0,PDF,Artesanato de Software (Clean Code),"É o ponto de partida ideal para quem está começando ou quer solidificar conhecimentos em Python. Dada sua atuação com Python, Machine Learning e Visão Computacional, este livro oferece a base sólida e atualizada que você precisa. Sua didática o torna acessível e eficaz.",29,4,2025/05,Lido,29
232,,Deep Learning with Python,François Chollet,2021,Técnico,4 - Alta,0,PDF,Sistemas de IA & LLMs,"Essencial para sua área de interesse em IA e MLOps. François Chollet é o criador do Keras, o que garante uma perspectiva prática e autoritária sobre o assunto.",30,3,2025/07,Lido,30
233,,Storytelling with Data,Cole Nussbaumer Knaflic,2015,Técnico,4 - Alta,0,PDF,Storytelling & Visualização,É a ponte entre a análise técnica de dados e o mundo dos negócios. A capacidade de comunicar seus resultados de forma clara e persuasiva é crucial para apresentar insights e gerar valor.,26,4,2025/07,Lido,26
234,,Super Thinking The Big Book of Mental Models,Gabriel Weinberg,2019,Não Técnico,4 - Alta,0,PDF,Conhecimento geral,Desenvolver frameworks e atalhos mentais para cortar a complexidade e tomar melhores decisões.,19,5,2025/08,Lido,19
235,,Operação Miami,James Grippando,2006,Não Técnico,2 - Média,0,Estante,Sistemas de IA & LLMs,Suspense moderno e investigação policial,24,4,2025/08,Lido,24
236,,A história da Inteligência Artificial para quem tem pressa,Peter J. Bentley,2025,Não Técnico,4 - Alta,0,PDF,Sistemas de IA & LLMs,Compreender a evolução da IA e seus impactos.,30,4,2025/09,Lido,30
